"2018-12-23 08:23:57 +0000",":rocket: Done with setup."
"2018-12-23 08:18:56 +0000",":checkered_flag: Finished with major changes"
"2018-12-23 06:41:25 +0000",":construction: Working on something important [WIP]"
"2018-12-23 06:33:46 +0000","new image ..."
"2018-11-29 23:21:04 +0000","Available in GHS only for the meantime."
"2018-10-18 20:46:55 +0000","New image"
"2018-10-07 04:39:23 +0000","FInally complete"
"2018-10-07 04:25:30 +0000","Final update v1"
"2018-10-07 04:20:49 +0000","Almost final"
"2018-10-07 04:00:06 +0000","Trying really hard to break thru"
"2018-10-07 03:50:33 +0000","I need this"
"2018-10-07 03:40:02 +0000","Added in some Debug messages"
"2018-10-07 03:32:09 +0000","Finalizing ..."
"2018-10-07 03:23:49 +0000","new tryout update"
"2018-10-07 02:44:03 +0000","New update to the screenshots"
"2018-10-07 02:42:24 +0000","Last item to look at ... Comming soon"
"2018-10-07 02:34:39 +0000","updated the pay via wyre image with locals ð    ð   ¾"
"2018-10-07 02:05:57 +0000","uodate for the README.md screenshot ... Vibrance"
"2018-10-07 02:02:49 +0000","instant gratification"
"2018-10-07 01:52:55 +0000","get there quicker ..."
"2018-10-07 01:41:58 +0000","Lol ... Intentional delay"
"2018-10-07 01:27:06 +0000","updating version"
"2018-10-07 01:26:15 +0000","Fixed a typo ... Silly me ..."
"2018-10-07 01:21:11 +0000","Final touches ..."
"2018-10-06 23:47:01 +0000","trying it .."
"2018-10-06 23:24:25 +0000","Lol ..."
"2018-10-06 04:01:05 +0000","Working on Wyre consistency ..."
"2018-10-06 03:58:10 +0000","Reorderd the README.md"
"2018-10-06 03:56:19 +0000","image verified ..."
"2018-10-06 03:55:07 +0000","testing image sizing MD"
"2018-10-06 03:53:24 +0000","testing new image for Readem.md"
"2018-10-06 03:41:41 +0000","update to the section url for settings"
"2018-10-06 03:31:39 +0000","Getting ready for deployment ..."
"2018-10-05 18:49:33 +0000","Payment platform ... Here I come ..."
"2018-10-05 14:03:52 +0000","Should be removed"
"2018-10-05 08:17:27 +0000","Done .."
"2018-10-05 07:36:58 +0000","Merchant ID is not needed like that ..."
"2018-10-05 07:12:23 +0000","Typo in the plugin ..."
"2018-10-05 06:29:19 +0000","Woo plug"
"2018-10-05 06:25:15 +0000","Got it all figured out ..."
"2018-10-05 06:24:34 +0000","An update to Wyre settings ..."
"2018-10-05 06:18:18 +0000","We going upward unto the mount ..."
"2018-10-05 06:13:47 +0000","testing MIC"
"2018-10-05 06:12:54 +0000","Convenient error message"
"2018-10-05 06:04:48 +0000","Wonderland ... Magic"
"2018-10-05 06:01:20 +0000","Simple is always better"
"2018-10-05 05:53:23 +0000","Wonderful stuff..."
"2018-10-05 04:29:58 +0000","Order ID is missing ..."
"2018-10-05 04:21:23 +0000","We seem to have something now ..."
"2018-10-05 03:51:49 +0000","more specific configs for this plugin ..."
"2018-10-05 03:50:37 +0000","Looks pretty good right now ..."
"2018-10-05 03:40:42 +0000","Added in the new changes for now ..."
"2018-10-04 16:47:02 +0000","I will keep hold ing on"
"2018-10-04 16:38:28 +0000","Dapaa Solomon ..."
"2018-10-04 16:31:07 +0000","POST args are now up"
"2018-10-04 16:25:38 +0000","the URL must look like this instead ..."
"2018-10-04 16:20:46 +0000","Simpler desc"
"2018-10-04 16:17:28 +0000","more polish for the woo-plugin"
"2018-10-04 16:14:44 +0000","NOW money"
"2018-10-04 16:06:51 +0000","Bans on the beat"
"2018-10-04 15:49:53 +0000","testing new plugin..."
"2018-10-04 15:38:15 +0000","minor update ..."
"2018-10-04 15:11:53 +0000","Got it all figured out ..."
"2018-10-04 14:51:58 +0000","GOt it ..."
"2018-10-04 04:11:59 +0000","Little update"
"2018-10-04 04:05:44 +0000","Some new updates"
"2018-10-04 03:33:36 +0000","New"
